,Standard Kit 1,Standard Kit 2,,,,,,,,Brush Kit,,,,,,,,,
,Live!Std Kit,Live!Funk Kit,,,,,,,,Live!Brush Kit,,,,,,,,,
,Live!Std+P Kit,Live!Funk+P Kit,Hit Kit,Room Kit ,Rock Kit ,Electro Kit ,Analog Kit,Dance Kit,Jazz Kit,Live!Brush+P Kit,Symphony Kit,EL Kit 1,EL Kit 2,Live!Studio Kit,SFX Kit 1,SFX Kit 2,Arabic Kit ,Cuban Kit,Pop Latin Kit
13,Surdo Mute,Surdo Mute,Surdo Mute,Surdo Mute,Surdo Mute,Surdo Mute,Surdo Mute,Kick Dance 1,Surdo Mute,Surdo Mute,Surdo Mute,Scratch,Maracus High,Surdo Mute,,,,,
14,Surdo Open,Surdo Open,Surdo Open,Surdo Open,Surdo Open,Surdo Open,Surdo Open,Kick Dance 2,Surdo Open,Surdo Open,Surdo Open,Concert BD,Surdo Mute,Surdo Open,,,,,
15,Hi Q,Hi Q,Hi Q,Hi Q,Hi Q,Hi Q,Hi Q,Hi Q,Hi Q,Hi Q,Hi Q,Noise Percussion,Maracas Low,Hi Q,,,,,
16,Whip Slap,Whip Slap,Whip Slap,Whip Slap,Whip Slap,Whip Slap,Whip Slap,Whip Slap*,Whip Slap,Whip Slap,Whip Slap,Bass Drum March,Surdo Muff,Whip Slap,,,,,
17,Scratch H,Scratch H,Scratch H,Scratch H,Scratch H,Scratch H,Scratch H,Scratch Dance 1*,Scratch H,Scratch H,Scratch H,Analog BD Short,Surdo Rim,Scratch H,,,,,
18,Scratch L,Scratch L,Scratch L,Scratch L,Scratch L,Scratch L,Scratch L,Scratch Dance 2*,Scratch L,Scratch L,Scratch L,Synth Tom 3,Cuica High,Scratch L,,,,,Hand Clap
19,Finger Snap,Finger Snap,Finger Snap,Finger Snap,Finger Snap,Finger Snap,Finger Snap,Finger Snap,Finger Snap,Finger Snap,Finger Snap,Analog BD Long,Surdo Open,Finger Snap,,,,,
20,Click Noise,Click Noise,Click Noise,Click Noise,Click Noise,Click Noise,Click Noise,Click Noise,Click Noise,Click Noise,Click Noise,Synth Tom 2,Cuica Middle,Click Noise,,,,,
21,Metronome Click,Metronome Click,Metronome Click,Metronome Click,Metronome Click,Metronome Click,Metronome Click,Dance Perc 1,Metronome Click,Metronome Click,Metronome Click,Synth Bass Drum,Tamborim Mute,Metronome Click,,,,,
22,Metronome Bell,Metronome Bell,Metronome Bell,Metronome Bell,Metronome Bell,Metronome Bell,Metronome Bell,Reverse Dance 1,Metronome Bell,Metronome Bell,Metronome Bell,Synth Tom 1,Cuica Low,Metronome Bell,,,,Conga H Tip,Conga H Tip
23,Seq Click L,Seq Click L,Seq Click L,Seq Click L,Seq Click L,Seq Click L,Seq Click L,Dance Perc 2,Seq Click L,Seq Click L,Seq Click L,Bass Drum Attack,Tamborim Open,Seq Click L,,,,Conga H Heel,Conga H Heel
24,Seq Click H,Seq Click H,Seq Click H,Seq Click H,Seq Click H,Seq Click H,Seq Click H,Hi Q Dance 1,Seq Click H,Seq Click H,Seq Click H,Bass Drum Heavy,Pandeiro,Seq Click H,,,Nakarazan Dom,Conga H Open,Conga H Open
