NoteNumber,ELKit 1,ELKit 2,Standard Kit 1,,Standard Kit 2,Hit Kit,Room Kit,Rock Kit,Electro Kit,Analog Kit,,Dance Kit,Jazz Kit,Brush Kit,Symphony Kit,China Mix Kit,Live!Std Kit,,Live!Std+P Kit,Live!Funk Kit,Live!Funk+P Kit,Live!Brush Kit,Live!Brush+P Kit,Live!Studio Kit,,Live!AcousticKit,Live!Power Kit 1,Live!Power Kit 2,Live!Rock Kit,Live!Real Drums,Live!RealBrushes,,Analog T8 Kit,Analog T9 Kit,House Kit,HipHop Kit,Drum Machine,Break Kit,SFX Kit 1,SFX Kit 2,Live! SFX Kit 1,Live! SFX Kit 2,Noise Kit,VocalEffectsKit,,GospelAdLibs,Wonderland Kit,PopLatin Kit,Cuban Kit,Arabic Kit,Turkish Kit,China Kit,OrchestraPerc
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Scratch,Maracas High,Surdo Mute,,Surdo Mute,Surdo Mute,Surdo Mute,Surdo Mute,Surdo Mute,Surdo Mute,,Kick Dance 1,Surdo Mute,Surdo Mute,Surdo Mute,Surdo Mute,Surdo Mute,,Surdo Mute,Surdo Mute,Surdo Mute,Surdo Mute,Surdo Mute,Surdo Mute,,Surdo Mute,Surdo Mute,Surdo Mute,Surdo Mute,Surdo Mute,Surdo Mute,,Surdo Mute,Surdo Mute,W Kick *,Surdo Mute,Surdo Mute,Surdo Mute,,,,,,,,,,Cajon Low,,,Asma Davul L,,Symphonic Gong 1
14,Concert BD,Surdo Mute,Surdo Open,,Surdo Open,Surdo Open,Surdo Open,Surdo Open,Surdo Open,Surdo Open,,Kick Dance 2,Surdo Open,Surdo Open,Surdo Open,Surdo Open,Surdo Open,,Surdo Open,Surdo Open,Surdo Open,Surdo Open,Surdo Open,Surdo Open,,Surdo Open,Surdo Open,Surdo Open,Surdo Open,Surdo Open,Surdo Open,,Surdo Open,Surdo Open,Disco Fx *,Surdo Open,Surdo Open,Surdo Open,,,,,,,,,,Cajon Slap,,,Asma Davul R,,Symphonic Gong L *
15,Noise Percussion,Maracas Low,Hi Q,,Hi Q,Hi Q,Hi Q,Hi Q,Hi Q,Hi Q,,Hi Q,Hi Q,Hi Q,Hi Q,Hi Q,Hi Q,,Hi Q,Hi Q,Hi Q,Hi Q,Hi Q,Hi Q,,Hi Q,Hi Q,Hi Q,Hi Q,Hi Q,Hi Q,,Hi Q,Hi Q,WhiteNoiseDown 1 *,Hi Q,Hi Q,Hi Q,,,,,,,,,,Cajon Tip,,,Asma Davul Side,,Symphonic Gong 2
16,Bass Drum March,Surdo Muff,Whip Slap,,Whip Slap,Whip Slap,Whip Slap,Whip Slap,Whip Slap,Whip Slap,,Whip Slap,Whip Slap,Whip Slap,Whip Slap,Whip Slap,Whip Slap,,Whip Slap,Whip Slap,Whip Slap,Whip Slap,Whip Slap,Whip Slap,,Whip Slap,Whip Slap,Whip Slap,Whip Slap,Whip Slap,Whip Slap,,Whip Slap,Whip Slap,PinkNoise Down 1 *,Whip Slap,Whip Slap,Whip Slap,,,,,,,,,,Claves High,,,Asma Davul Both,,Timpani E
17,Analog BD Short,Surdo Rim,Scratch H,,Scratch H,Scratch H,Scratch H,Scratch H,Scratch H,Scratch H,,Scratch Dance 1 *,Scratch H,Scratch H,Scratch H,Scratch H,Scratch H,,Scratch H,Scratch H,Scratch H,Scratch H,Scratch H,Scratch H,,Scratch H,Scratch H,Scratch H,Scratch H,Scratch H,Scratch H,,Scratch H,Scratch H,WhiteNoiseDown 2 *,Scratch H,Scratch H,Scratch H,,,,,,,,,,Claves Low,,,KoltukDavul Flam,,Timpani F
18,Synth Tom 3,Cuica High,Scratch L,,Scratch L,Scratch L,Scratch L,Scratch L,Scratch L,Scratch L,,Scratch Dance 2 *,Scratch L,Scratch L,Scratch L,Scratch L,Scratch L,,Scratch L,Scratch L,Scratch L,Scratch L,Scratch L,Scratch L,,Scratch L,Scratch L,Scratch L,Scratch L,Scratch L,Scratch L,,Scratch L,Scratch L,PinkNoise Down 2 *,Scratch L,Scratch L,Scratch L,,,,,,,,,,Hand Clap,,,KoltukDavul Teke,,Timpani F#
19,Analog BD Long,Surdo Open,Finger Snap,,Finger Snap,Finger Snap,Finger Snap,Finger Snap,Finger Snap,Finger Snap,,Finger Snap,Finger Snap,Finger Snap,Finger Snap,Finger Snap,Finger Snap,,Finger Snap,Finger Snap,Finger Snap,Finger Snap,Finger Snap,Finger Snap,,Finger Snap,Finger Snap,Finger Snap,Finger Snap,Finger Snap,Finger Snap,,Snare Hammer,Snare Drum&Bass1,White Noise Up 2 *,Hi-HatClosedT8 2,Snare Drum&Bass1,Finger Snap,,,,,,,,,,,,,Koltuk Davul Tek,,Timpani G
20,Synth Tom 2,Cuica Middle,Click Noise,,Click Noise,Click Noise,Click Noise,Click Noise,Click Noise,Click Noise,,Click Noise,Click Noise,Click Noise,Click Noise,Click Noise,Click Noise,,Click Noise,Click Noise,Click Noise,Click Noise,Click Noise,Click Noise,,Click Noise,Click Noise,Click Noise,Click Noise,Click Noise,Click Noise,,Kick Zap Hard,Kick Break 2,White Noise Up 1 *,Tom T8 3,Kick Break 2,Snare Break 8,,,,,,,,,,Finger Snap,,,Koltuk Davul Dum,,Timpani G#
21,Synth Bass Drum,Tamborim Mute,Metronome Click,,Metronome Click,Metronome Click,Metronome Click,Metronome Click,Metronome Click,Metronome Click,,Dance Perc 1,Metronome Click,Metronome Click,Metronome Click,Metronome Click,Metronome Click,,Metronome Click,Metronome Click,Metronome Click,Metronome Click,Metronome Click,Metronome Click,,Metronome Click,Metronome Click,Metronome Click,Metronome Click,Metronome Click,Metronome Click,,Snare Garg L,Snare Distortion,Pink Noise Up *,Hi-Hat Open T8 2,Snare Distortion,Snare Break 9,,,,,,,,,,Castanet,,,Bendir Teke Flam,,Timpani A
